ID,Inventor,Recency,Frequency,Monetary
1820,L.W.拉克斯,1816,1,0.3731385393772377
1821,L.井,672,1,0.33504195163914946
1822,L.佩德森,1683,2,0.6243437079228438
1823,L.史密斯,1907,1,0.3809782606359703
1824,L.埃尔达达,2529,2,0.40506426222077396
1825,L.弗拉里,941,1,0.3524061669090951
1826,L.德阿昆托,1414,1,0.3259034852617342
1827,L.扎卡赖亚斯,360,1,0.4380534850135912
1828,L.杜贝塞特,1428,1,0.32651645919321964
1829,L.林,1785,2,0.3792018280119285
1830,L.莫罗尼,1078,1,0.7067234018131578
1831,L.马努希,2131,1,0.7866774103166729
1832,L·A·布什,413,4,0.45347327427893164
1833,L·B·库尔,507,1,0.5
1834,L·C·杜珊,836,2,0.37155864127979765
1835,L·H·利登,878,1,0.3758309312444231
1836,L·J·米什拉,2341,1,0.3096843466165393
1837,L·K·阮,3411,1,0.3179203911189204
1838,L·L·杨,1659,1,0.3970199547494666
1839,L·M·埃基佐格洛伊,2327,1,0.6307956563544453
1840,L·M·拉邱,269,1,0.4227937218170673
1841,L·M·霍根,1841,1,0.44429137878061664
1842,L·N·巴利特,157,1,0.3436317534146546
1843,L·O·赖安,1914,2,0.6271296462464928
1844,L·T·武,665,1,0.36845617720525436
1845,L·T·罗曾达尔,717,1,0.3717091789857104
1846,L·W·多弗,1053,3,0.5402787953592348
1847,L·丁,1067,1,0.618401479496993
1848,L·伊森盖尔,420,1,0.443815797863531
1849,L·伯特,906,2,0.6851098183759741
1850,L·刘易斯,756,1,0.5186849712938969
1851,L·利曹,4734,1,0.4710939353117029
1852,L·哈尔伯格,451,1,0.40700380332829256
1853,L·埃勒曼,1400,1,0.3869726821637312
1854,L·埃斯波西托,1158,1,0.3804318279135999
1855,L·基达,66,1,0.35975476747842833
1856,L·塞雷扎特,2443,1,0.3276541074370838
1857,L·奥帕林斯基,1067,1,0.6680713812095008
1858,L·威廉松,959,1,0.5308534366785576
1859,L·孔蒂,1456,1,0.4681900361756446
1860,L·巴伦德特,7366,1,0.33212479338287915
1861,L·巴洛格,2296,1,0.33540041594793485
1862,L·布拉克,752,1,0.359655399112037
1863,L·帕普,381,3,0.33803306695207674
1864,L·帕罗利尼,196,1,0.43306512080359894
1865,L·弗洛丁,490,1,0.9807681493072182
1866,L·彭万,154,1,0.3985428655240524
1867,L·拉姆,1018,1,0.33080068955776337
1868,L·拉梅施,136,1,0.32802565235079684
1869,L·斯特卢布,56,1,0.34040380950141524
1870,L·斯特瑞拉马萨尔马,948,1,0.7002106861218084
1871,L·施特鲁布,56,1,0.3454719604184072
1872,L·施玛德克,472,2,0.5064870608734665
1873,L·普加佩德雷戈萨,126,1,0.3254135100910941
1874,L·普瑟蒂,224,1,0.9681302007990321
1875,L·杜邦德迪内尚,1991,1,0.4353244665833042
1876,L·毛尔,1032,1,0.31770462552260126
1877,L·沃格斯特伦,1221,1,0.5200754651273531
1878,L·法姆范,245,1,0.47658657576922125
1879,L·法比尼,234,4,0.6764943088769758
1880,L·泽瓦德埃,770,1,0.32403607454614053
1881,L·海策尔,1886,1,0.7132918237583108
1882,L·瓦里斯,1963,1,0.34068292302744707
1883,L·皮尔瑟博,1708,3,0.3573586747260679
1884,L·科恩,353,1,0.6521045405755662
1885,L·穆卡哈尔,693,1,0.31505528887340667
1886,L·穆罕玛迪,367,1,0.334091240900166
1887,L·米勒,168,1,0.34410738435088045
1888,L·索罗金,2110,2,0.6600198080796726
1889,L·罗斯,0,2,0.4958288319758303
1890,L·罗特坎普,742,1,0.4475067648637206
1891,L·美约,189,1,0.3646411098561439
1892,L·艾里什,1981,1,0.620317646986367
1893,L·莫尔特雷赫,826,1,0.4329737528832525
1894,L·莫尔特雷赫特,553,2,0.35082633043636235
1895,L·莫斯尼尔-图马斯,147,1,0.5678976798991204
1896,L·莱昂奥赫达,1872,1,0.5593078608766521
1897,L·蒋,2222,1,0.3072001487368236
1898,L·蔡,1417,2,0.4276428279865936
1899,L·西伯,2443,2,0.4477150452810751
1900,L·詹森,206,1,0.4890425899718511
1901,L·贝尔松,689,1,0.7469155017197058
1902,L·贝格尔,192,1,0.5058938567531213
1903,L·费夫尔,672,1,0.3487855563273464
1904,L·赖安,2051,1,0.4846581230235656
1905,L·辛德勒,329,1,0.5088006107994375
1906,L·达尔斯加德,700,1,0.7824992637101336
1907,L·里斯,1932,2,0.47552673151764296
1908,L·阮,1627,1,0.3294332551071521
1909,L·韦罗内塞,1407,1,0.4282738190101704
1910,L·马,35,1,0.5173664522293548
1911,L·马努施,1239,1,0.35082242263475294
1912,L·马吉,434,3,0.4117525616021786
1913,L·马奥尔,850,1,0.5057792246879113
1914,L·马洛,941,1,0.3683044927268538
1915,L·鲍尔,126,1,0.6651006920188577
1916,L·麦迪耶,364,1,0.869272692268098
1917,M-A·博德里奥,941,1,0.9911591706318493
1918,M-C·阿凡提诺斯,451,1,0.5445678011646962
1919,M-H·李,1015,1,0.9686035632810778
1920,M-S·阿卜杜勒哈米德,525,1,0.316260729759871
1921,M-T·苏尔,101,1,0.3287803871074519
1922,M.A.因加尔,1470,1,0.3390896715689778
1923,M.A.尚德,899,2,0.6383460662177859
1924,M.A.英加尔,1389,2,0.4151601103781167
1925,M.A.英格尔,416,2,0.34940379925818543
1926,M.E.瓦斯桑切斯,1449,1,0.8966472832524746
1927,M.F.塔维拉,630,1,0.7462732880989656
1928,M.H.阿尔齐兹维尼,616,2,0.3566193986102647
1929,M.K.莫里,1694,1,0.34672449985496334
1930,M.K.蒂茨沃思,276,1,0.48145274802905685
1931,M.L.E.安德森,469,1,0.3283920889070438
1932,M.L.达内尔,2012,1,0.6996195530561978
1933,M.O.威克伦德,1095,1,0.8301903337684567
1934,M.P.克斯勒,654,4,0.5479233589911726
1935,M.P.詹森,3145,1,0.4971126131809122
1936,M.S.泽比亚,1333,1,0.4179353667485315
1937,M.S.泽比亚克,1225,1,0.6012046551780398
1938,M.克里沃康,1008,1,0.4453062985277779
1939,M.卡姆斯,1764,1,0.3745033296864041
1940,M.卡普西利,1319,1,0.3294484291853047
1941,M.厄尔拉谢,1554,1,0.4158128684529027
1942,M.哈莱克,1137,1,0.5687043715370361
1943,M.坦普勒,280,1,0.34610320056338706
1944,M.基里克,1473,1,0.34614127065342654
1945,M.多伊尔,1284,1,0.4813712568329206
1946,M.威特托夫,2068,1,0.31531920726494805
1947,M.尔拉彻,1823,1,0.34594017303291824
1948,M.巴兰,2299,1,0.33818137921574665
1949,M.布卢门特里特,1239,1,0.3646506290649665
1950,M.布鲁夫斯坦,1232,1,0.6059554933783305
1951,M.库比,1361,1,0.8136003585115583
1952,M.库纳维斯,1753,1,0.5303516583362204
1953,M.康迪帕西,490,1,0.9230862923336041
1954,M.恩格尔,2096,1,0.40140031473205107
1955,M.拉斯特,1074,1,0.9357217397915981
1956,M.文德特,2212,1,0.5587920811989682
1957,M.斯勒茨基,343,1,0.39275325919674225
1958,M.斯卢特斯基,1281,1,0.34334969786414005
1959,M.斯卢茨基,602,4,0.48012319486206273
1960,M.斯塔德勒,343,2,0.8318301774538641
1961,M.斯普拉格,1225,1,0.7600063214548812
1962,M.斯里瓦特萨,1648,1,0.48729754375803047
1963,M.施奈德,903,1,0.5501913846009964
1964,M.沙费尔特,1585,1,0.41596883867869855
1965,M.沙里亚利,1004,1,0.40371859081480715
1966,M.沙里亚里,584,1,0.3357642049196392
1967,M.王,784,1,0.6362892980028912
1968,M.皮欣格,4006,1,0.41263422912065895
1969,M.科尔,1123,1,0.33700273067084363
1970,M.穆恩,819,2,0.42289568488093954
1971,M.罗特赫梅尔,2093,1,0.5171901766403663
1972,M.迈因克,1274,1,0.3781577906534466
1973,M.迈赫迪扎德,1095,1,0.8434938407509448
1974,M.阿克曼,721,1,0.38804646734644743
1975,M.阿姆布鲁斯特,2753,1,0.32389088786170767
1976,M.阿恩特,1851,2,0.47515065213585594
1977,M.阿舒里,2753,1,0.3285610364816673
1978,M.陈,969,2,0.3814676595044389
1979,M.韦贝,3215,1,0.3384008590221154
1980,M.马蒂拉,1368,1,0.9121629163967376
1981,M·A·R·舒曼,0,4,0.5725712329579091
1982,M·A·库雷希,231,1,0.6649865707318751
1983,M·A·戴维斯,1228,1,0.3527036911796667
1984,M·A·斯坦奥厄,1862,1,0.6909575894137487
1985,M·A·沃伦,1067,1,0.7533111631440029
1986,M·A·洛迪,217,1,0.314722078140855
1987,M·A·罗希,1939,1,0.339906953400177
1988,M·A·苏弗里德格,311,1,0.44484467914178094
1989,M·A·莱尼,1015,1,0.379864603660965
1990,M·A·贝尔,693,1,0.3515434743712897
1991,M·A·迪塔利,637,1,0.321125818519171
1992,M·A·迪蒂,1340,1,0.9553787945420872
1993,M·A·阿吉拉尔,679,1,0.32517507674979346
1994,M·B·塔万尼库,843,1,0.489828488895784
1995,M·B·施维索,448,1,0.31603260915500664
1996,M·C·戴维斯,213,1,0.5097699086205696
1997,M·C·约瑟夫斯,133,1,0.3652161983453587
1998,M·C·贝克,1757,1,0.32924857227322096
1999,M·D·乔治,570,2,0.595414067247565
2000,M·D·恩特威斯尔,658,1,0.42297385418396455
2001,M·D·琼斯,931,2,0.33161787134143816
2002,M·D·米克,1928,1,0.5216736609148144
2003,M·D·里希特,994,1,0.3962420160243223
2004,M·D·阿拉孔,2194,1,0.34667293322542025
2005,M·D·霍华德,1302,1,0.6583822612331743
2006,M·E·布祖拉,21,1,0.34515908597034073
2007,M·E·德林,147,1,0.34154327930981976
2008,M·E·瓦尔德,756,1,0.36221996924563843
2009,M·F·加兰-奥利维拉斯,1480,1,0.394607687416343
2010,M·F·塔维拉,227,2,0.683223183380941
2011,M·F·扎曼,1526,1,0.9620904804692018
2012,M·G·亚当斯,1981,1,0.5305935324591596
2013,M·G·普日比尔斯基,164,1,0.910877858527475
2014,M·G·莱因哈特,8822,1,0.32261081070885667
2015,M·H·A·H·瓦赫巴,448,1,0.3310098822902013
2016,M·H·A·克莱森斯,511,1,0.4239102544355613
2017,M·H·劳尔,1491,1,0.3302791167603898
2018,M·H·阿尔维,308,1,0.6362588539812373
2019,M·I·贾伯,595,1,0.8444833906342856
2020,M·J·O·卡纳瓦,6610,1,0.35288643723559004
2021,M·J·P·多米尼克,1477,1,0.6785019742832904
2022,M·J·哈米尔顿,262,1,0.48833292057055633
2023,M·J·哈蒙,546,1,0.4251859967754136
2024,M·J·库珀,490,2,0.40686460929424656
2025,M·J·德内卡,1431,2,0.40397143690596443
2026,M·J·科伯恩,2096,1,0.6334692035704753
2027,M·J·纳基尔斯基,941,1,0.32207606502937086
2028,M·J·道诺万,115,6,0.46520916307619337
2029,M·K·吕贝尔斯,2578,1,0.3503682795641018
2030,M·K·理查森,3194,1,0.3149006387009891
2031,M·L·布莱克莱尔,385,1,0.4277980691808743
2032,M·L·泽因斯特拉,2012,1,0.4961081666115962
2033,M·L·达维拉,1428,1,0.316545564309282
2034,M·L·霍布鲁克,4069,1,0.43067112753636616
2035,M·L·麦卡恩,105,1,0.35453322007049487
2036,M·M-C·布林克尔,21,1,0.3603366399714205
2037,M·M·厄尔-甘玛尔,434,1,0.43011316343561923
2038,M·M·塞曼德斯,3719,1,0.3447517276729511
2039,M·M·巴特,598,1,0.3351961455743438
2040,M·M·托马斯,66,1,0.5582341750722394
2041,M·M·科拉尼,745,1,0.31771175204474844
2042,M·M·达默,1540,1,0.30526517468424713
2043,M·N·G·罗特霍夫,3152,1,0.35719873317117634
2044,M·N·莫迪,458,2,0.6227516378309812
2045,M·P·克斯勒,4552,1,0.42563845062030575
2046,M·P·察普夫,304,1,0.38492597920268884
2047,M·P·斯拉特里,336,1,0.45670706593948285
2048,M·R·万古迪亚,1494,1,0.5421722715514655
2049,M·R·加蓬斯特,2254,1,0.3707625439913656
2050,M·R·卡科伊,1365,1,0.6464979853035574
2051,M·R·埃韦特,1361,5,0.4201987581370073
2052,M·R·莫里塞,1900,1,0.873823578614141
2053,M·R·阿里汗,721,1,0.3320529497692838
2054,M·R·马森,2669,1,0.48015478067375805
2055,M·S·L·沙尔夫-舍夫,822,1,0.6167159561854413
2056,M·S·埃利,1036,1,0.3548685738483823
2057,M·S·戈登,1543,1,0.357841627360827
2058,M·S·比尔拉,24,5,0.38795749511580374
2059,M·S·纳瓦兹,182,1,0.3226121459133446
2060,M·S·齐比亚克,987,1,0.44909710465549835
2061,M·T·伯克,395,1,0.42758350243718324
2062,M·T·劳,157,1,0.6308858382214979
2063,M·T·尤迪,101,1,0.4004032978197592
2064,M·W·波伦,903,2,0.40060909352365903
2065,M·W·高斯,528,1,0.8174968291998747
2066,M·Z·巴尔马尔,420,1,0.3771967928898097
2067,M·丹宁格,378,1,0.4262418163312338
2068,M·伊尔迪斯,273,7,0.484975526131516
2069,M·伯克尔,1008,2,0.3938409949289461
2070,M·佐尔圭,308,1,0.47437256684503737
2071,M·佐胡里安,406,1,0.41840392336115007
2072,M·佩莱格里诺,2058,1,0.3383401078262894
2073,M·克劳泽,1085,1,0.3933762595245393
2074,M·克林凯特,1302,1,0.3495259558432745
2075,M·克里普林,189,1,0.5209370128792744
2076,M·兰卡沃特,1617,1,0.3083328132149034
2077,M·内克,2012,1,0.3294274991108566
2078,M·刘,1795,1,0.8680062372935935
2079,M·利维-伊斯雷尔,1627,1,0.3364063991994619
2080,M·加富里安,308,2,0.3972816061497829
2081,M·加布,773,1,0.3383069049378272
2082,M·加法里安扎德,899,1,0.4051374290002814
2083,M·勒伦特,787,1,0.7982860054716123
2084,M·博杜安,325,1,0.47284801317853276
2085,M·卡亚,28,1,0.4513144173971143
2086,M·卡亚尔卡特,0,3,0.6317067642073733
2087,M·卡利利,500,1,0.92667659330077
2088,M·卡斯塔迪尼,584,1,0.4394512717807402
2089,M·卡普西里,770,1,0.8243792409234693
2090,M·卡格,511,1,0.4655135317277254
2091,M·卡米尔,1008,1,0.3639265857535498
2092,M·卡约,248,1,0.6137032008575753
2093,M·卢西维,1897,1,0.3404397462790632
2094,M·古泰,682,1,0.40514158532643846
2095,M·吉尔,917,1,0.5992127795980886
2096,M·哈利利,1708,1,0.33077893416527737
2097,M·哈姆,199,1,0.36153708047354294
2098,M·哈萨瓦,633,2,0.4914525842397421
2099,M·哈蒙,735,1,0.8875411546873556
2100,M·图里安,248,1,0.34101071460589194
2101,M·埃尔曼,10,4,0.5938583165393124
2102,M·埃韦斯,206,1,0.4516483822838941
2103,M·基恩,2068,1,0.33019567037513514
2104,M·塔亚布,231,1,0.33853920214828154
2105,M·塞德勒夫,140,1,0.34187941779912856
2106,M·多尔蒂,346,1,0.3637454752148238
2107,M·多梅林,1204,4,0.6754128508653178
2108,M·多贝斯,794,1,0.33635423118321656
2109,M·奥尔克,276,1,0.347887287763615
2110,M·奥尔布里希,385,2,0.48945771412173067
2111,M·奥托,833,1,0.462481749610911
2112,M·奥斯塔彭科,1659,1,0.7873177535787365
2113,M·奥赫利希,1466,1,0.3904819533354216
2114,M·姆罗泽克,707,1,0.35533399780759395
2115,M·尤尔达纳,1123,1,0.4496315220350425
2116,M·尼尔松,1701,2,0.3788084478105781
2117,M·尼尔森,346,2,0.5888448732361522
2118,M·屈内,1239,2,0.6471300122249674
2119,M·屈纳,1106,3,0.798219195210118
2120,M·巴兰吉里,294,1,0.3292947207622723
2121,M·巴德,735,3,0.4553459406324927
2122,M·巴格林,875,1,0.3464208569849186
2123,M·巴特拉,514,1,0.34686720613467886
2124,M·布兰丁,1092,2,0.6205356192848488
2125,M·布兰德尔,402,1,0.33435334267610317
2126,M·布劳恩,357,2,0.507074694587381
2127,M·布卢特,1323,2,0.3915467000095172
2128,M·布莱耶,1631,1,0.3376016829854557
2129,M·布鲁苏,1729,1,0.5262555774565137
2130,M·希尔,1438,1,0.7155259754890752
2131,M·希特尼,31,1,0.8492726438639465
2132,M·希雷罗,28,1,0.3463897235008599
2133,M·帕夫洛夫斯基,2247,1,0.48905671608383483
2134,M·库切拉,136,1,0.44555667010311606
2135,M·库卡达姆,1834,1,0.39107920082166353
2136,M·库西格,976,1,0.766323061465906
2137,M·库达诺斯基,1778,1,0.332666313954672
2138,M·延施,297,3,0.3521621914032793
2139,M·弗莱舍,94,1,0.3545343998076651
2140,M·弗里,843,2,0.46865296956177227
2141,M·弗里德里希,66,1,0.8653326784379426
2142,M·弗鲁姆金,1274,1,0.3909385181568861
2143,M·张,241,1,0.3381488577591323
2144,M·彼得松,1592,1,0.5969957255281788
2145,M·德姆林,787,16,0.4339108353375045
2146,M·德盖尔,28,2,0.4707995630047081
2147,M·德米尔,721,1,0.5882122934181144
2148,M·德维托,563,1,0.3529000510854522
2149,M·德罗多斯基,1372,1,0.3580287245755712
2150,M·戈卢布,416,1,0.5662541808573622
2151,M·戈德,3957,1,0.3323807735932491
2152,M·戈德哈默,10,2,0.43334638243152906
2153,M·托尔,3201,1,0.3982014224970794
2154,M·托马拉,847,1,0.5280098958680363
2155,M·托马斯,175,1,0.34320809200648
2156,M·拉伊纳,1851,1,0.3477287341261431
2157,M·拉兰纳加,563,1,0.5585713470810622
2158,M·拉巴尼,52,1,0.33879285648720664
2159,M·拉米希,994,1,0.3430060909321939
2160,M·拉维恩,283,1,0.3728900452814603
2161,M·拉维斯坦,1358,1,0.3958706829893405
2162,M·拉马多斯,882,1,0.36031054140936436
2163,M·斯卢茨基,1886,2,0.45835527391672826
2164,M·斯坦纳,1372,1,0.3485005976491374
2165,M·斯塔希尼克,672,2,0.5888751817303757
2166,M·斯拉茨基,434,2,0.5986918319239947
2167,M·斯瓦库玛,164,3,0.5191998084902474
2168,M·斯维贝里,133,6,0.4670313430983448
2169,M·斯莫南,521,1,0.3524843130183608
2170,M·施劳特,1330,1,0.32404396676237357
2171,M·施坦格尔,661,2,0.4465725590574377
2172,M·施密特,1400,1,0.3278140897899216
2173,M·施特拉斯贝格,861,1,0.3058890882546287
2174,M·施罗德,1365,1,0.37331391742838527
2175,M·施赖伯,1757,1,0.3501051562956247
2176,M·旺德里希,2012,2,0.3385660231143618
2177,M·昂卡拉,745,1,0.9775140714735927
2178,M·普茨,672,1,0.5315623046501959
2179,M·普里贝,0,1,0.33879412453050123
2180,M·曼德里奥利,325,1,0.9621597228989961
2181,M·朋维泽,1785,1,0.38174456845139776
2182,M·朔尔,1179,1,0.31143669369697213
2183,M·杜尔,227,1,0.667999938175571
2184,M·查特吉,49,1,0.3230895101267726
2185,M·格德克,1487,1,0.3833456616335804
2186,M·梅斯瓦尼,742,1,0.3404610048425829
2187,M·比斯,1221,1,0.3195028639795315
2188,M·比马尼,245,1,0.3276773403230393
2189,M·汉泽尔曼,745,1,0.3295827739536031
2190,M·沃林,360,2,0.34816986147635676
2191,M·沙玛,80,1,0.5742056425942077
2192,M·沙赫里亚里,220,1,0.4321475844551908
2193,M·沙里亚里,49,1,0.8606948887143039
2194,M·法拉格,189,1,0.35196465307942637
2195,M·泰奇纳,815,1,0.33161908093015585
2196,M·泽勒霍夫,770,1,0.4691103964274971
2197,M·洛卡,1358,1,0.7863855916561553
2198,M·温布拉特,8633,1,0.542338059317005
2199,M·特里帕蒂,2226,3,0.5796984709020276
2200,M·班德,234,1,0.350905589690859
2201,M·班达拉,518,1,0.5
2202,M·瑞德斯托姆,556,1,0.33534737810564663
2203,M·瓦利施,1109,1,0.7873662430329229
2204,M·皮萨连科,745,1,0.7671197509710775
2205,M·盖,269,1,0.4232147939853444
2206,M·福,1561,1,0.5193920674904552
2207,M·福克斯,976,1,0.507590636727781
2208,M·福西克,1582,1,0.3523713641385001
2209,M·科伯恩,1064,1,0.4978155296988871
2210,M·科克斯,658,1,0.33227210785539363
2211,M·科内布,38,1,0.8233096728118434
2212,M·科勒,1981,1,0.46442873840384874
2213,M·科尔,66,1,0.34604558371082356
2214,M·科尔尼-费舍尔,476,1,0.6992202445598186
2215,M·科尼尼,147,1,0.42793542259632006
2216,M·科林,1036,2,0.3690694685657763
2217,M·穆伊松特,707,1,0.32136154761798297
2218,M·穆拉德,1491,2,0.3487898514746419
2219,M·穆斯塔贾尔维,1473,1,0.822871259146172
2220,M·米利纳尔,1127,1,0.9105966729455807
2221,M·米勒,192,1,0.36808481280844957
2222,M·米卡斯基,1746,1,0.40364216692123767
2223,M·米蒙,84,2,0.3836214890393317
2224,M·索格伦,1162,1,0.5625396566665243
2225,M·约希姆,115,1,0.5550428078062573
2226,M·约斯特,486,2,0.3549140120401333
2227,M·约纳松,1578,2,0.45107581301201605
2228,M·纳伽潘,647,1,0.32778295872131485
2229,M·纳塞里安,1613,2,0.3719453628073297
2230,M·纳希尔-厄尔-伊斯拉姆,157,1,0.33109458148929544
2231,M·纳德希尔,570,3,0.4946654196475837
2232,M·纳斯尔,28,1,0.5
2233,M·维兹,1669,1,0.4133223100243535
2234,M·维尔纳,2387,2,0.4865813524200782
2235,M·维斯露斯基,1858,3,0.779156251286469
2236,M·维默尔,3411,2,0.34891682277009683
2237,M·罗特,1820,1,0.6933459603589924
2238,M·罗特黑梅尔,1032,1,0.384602494563819
2239,M·耶利宁,385,1,0.5018370538254403
2240,M·舍费尔,836,1,0.3324346521614872
2241,M·舒曼,1123,1,0.6556497431720495
2242,M·舒里奥斯,574,1,0.5044159174468568
2243,M·艾姆斯,1519,1,0.45573554427842866
2244,M·范吉,805,1,0.4051799960786365
2245,M·茱莉亚托,486,2,0.6376954090182467
2246,M·莫伊特,822,1,0.33672009925982765
2247,M·莫伊西奥,2341,1,0.4654513947769729
2248,M·莫林,448,1,0.34235869514181355
2249,M·莫阿伦,889,2,0.4161267403664516
2250,M·莱茨,1613,1,0.3287781949151561
2251,M·菲利波,892,1,0.5323454844173746
2252,M·萨卡尔,1837,1,0.3388710085686029
2253,M·葛兰尼,1939,1,0.7191474067992031
2254,M·蒙杜斯,528,1,0.9046590349178419
2255,M·西贝尔,98,1,0.5863475035558601
2256,M·许尔森,350,6,0.48086495932309464
2257,M·诺沃特尼,714,1,0.31670718011302773
2258,M·豪斯施密德,959,1,0.3507862032347435
2259,M·豪斯根,182,1,0.5356078510757362
2260,M·豪普特,336,1,0.5
2261,M·贝拉,861,1,0.3659231282500372
2262,M·贝林-霍夫曼,588,1,0.8853975295531709
2263,M·费基艾哈迈德,1155,1,0.3538522823002039
2264,M·赖歇尔,3222,1,0.34628377978841063
2265,M·赤梅尔,507,1,0.4969303353944676
2266,M·赫斯塔瓦,525,2,0.4925397475486047
2267,M·辛特伯格,2739,1,0.4812588147809928
2268,M·达尔马普里卡尔,987,2,0.42660957286735324
2269,M·达希亚,1981,1,0.3632910665606941
2270,M·达斯,1281,1,0.3973034849686782
2271,M·迈尔,1281,4,0.47842879701341584
2272,M·迈赫迪扎德,1774,1,0.31934358371588484
2273,M·道诺万,791,1,0.565253243960524
2274,M·都姆灵,1540,1,0.5653129410545138
2275,M·里根,602,1,0.4209856507169246
2276,M·金米特,1435,1,0.4437031455228332
2277,M·门策尔,1428,1,0.3437203370866831
2278,M·阿克希尔,1256,1,0.6801344129813673
2279,M·阿基尔梅尔霍恩,556,1,0.45445727535984476
2280,M·阿斯特罗姆,658,2,0.4869296639132918
2281,M·阿波达卡,1022,1,0.6453206511161941
2282,M·阿萨姆,1879,1,0.8707262322152381
2283,M·阿里安,178,1,0.7643887089668782
2284,M·阿齐兹,672,2,0.5420184199044016
2285,M·雷兹克,658,1,0.32882206799520836
2286,M·雷沃尔,2061,1,0.3741282377105968
2287,M·霍什内维桑,353,1,0.3120394107450547
2288,M·霍利基,469,2,0.5780278094135365
2289,M·霍夫曼,273,3,0.7232689483813788
2290,M·霍夫鲍尔,521,1,0.4616840436489128
2291,M·霍拉,1603,1,0.3338967225995598
2292,M·韦伯,49,1,0.4083052110138662
2293,M·韦卢皮莱,857,1,0.6030161188344133
2294,M·韦希林,4349,1,0.3469134480112483
2295,M·韦贝,1764,1,0.38120946250994886
2296,M·马修斯,346,1,0.6987334901937247
2297,M·马科夫斯基,164,1,0.34300852800946297
2298,M·马辛,1046,1,0.7233835824494418
2299,M·高乃依,1071,1,0.3706899442441567
2300,M·鲁道夫,255,1,0.9780961093838025
2301,M·鲍姆加特尔,927,1,0.721266738927441
2302,M·鲍迈斯特,1330,1,0.6327376898658966
2303,N-W.韩,1953,1,0.3440779967010443
2304,N.K.莫舒克,448,1,0.4202930160320072
2305,N.P.库马拉,1218,1,0.3567757974547859
2306,N.R.高塔马,2921,1,0.41180125389559985
2307,N.V.纳马,2166,1,0.3946301665963223
2308,N.W.哈特,1109,1,0.7821326562493033
2309,N.乔,1109,1,0.4013976947901664
2310,N.夏尔玛,1470,1,0.34122589634215456
2311,N.奈塔尼,2963,1,0.33111236202915256
2312,N.布拉米,1494,2,0.4773652879564369
2313,N.帕特尔,1764,1,0.46936060641573746
2314,N.拉特纳,917,1,0.3517706566866004
2315,N.拉贝,938,1,0.3630005040522606
2316,N.莫罕玛迪哈,1571,1,0.3583733438279647
2317,N.莫舒克,514,1,0.36413472283906856
2318,N.贝格霍夫,2443,1,0.8576803867483179
2319,N.费尔菲尔德,738,5,0.368803862382567
2320,N.阿姆斯特朗-克鲁斯,966,1,0.40990827646148426
2321,N·A·卡莫斯,409,1,0.3396704108289155
2322,N·A·巴拉,2177,1,0.3415477303412954
2323,N·A·格里扎诺夫,189,1,0.8178458763743355
2324,N·A·科凌,2383,2,0.7634104962171993
2325,N·A·萨尔华纳,1907,1,0.48658804817795154
2326,N·B·普费弗,700,1,0.4395743746782596
2327,N·B·杜瓦特,1032,1,0.45263606106016485
2328,N·C·哈里斯,791,3,0.3479794375991783
2329,N·C·沃克,1837,2,0.3297123955738065
2330,N·C·韦斯托弗,1886,1,0.34037509657825377
2331,N·D·奥康奈尔,1557,1,0.5365689271109065
2332,N·D·曼卡梅,178,1,0.347803895739683
2333,N·D·泰斯,1981,2,0.37210792880050475
2334,N·D·艾玛特,595,1,0.4180048910673481
2335,N·I·瓜尔内里,2222,1,0.5649868574983667
2336,N·J·凯泽,308,1,0.61355745838924
2337,N·J·布朗,364,1,0.3333476595399172
2338,N·K·莫什查克,1480,1,0.39004620585646127
2339,N·K·莫什楚克,4118,1,0.34821698043402843
2340,N·L·史蒂芬斯,6750,1,0.49155874418542134
2341,N·M·佩尔拉,777,4,0.3766503613792497
2342,N·M·基莱里希·普拉塔斯,374,1,0.3387739975260291
2343,N·M·阿拉尔,1043,1,0.6079523506344093
2344,N·N·杨,1886,1,0.9270063315038973
2345,N·T·诺思,385,1,0.9791499899298315
2346,N·W·哈特,1018,2,0.6050505514674409
2347,N·久里奇,1785,1,0.7529830267880886
2348,N·加纳姆,133,1,0.3623384708821688
2349,N·勒-希尔,63,1,0.3329259576476726
2350,N·南丹,644,1,0.6665688887798848
2351,N·博克,2578,1,0.4200741776985852
2352,N·博利塞蒂,1043,1,0.5160693635014786
2353,N·卡佩,2334,1,0.8322286906354265
2354,N·卡哈纳,868,1,0.8914634432761043
2355,N·卡普尔,329,1,0.34607656752312355
2356,N·卢,385,5,0.5463706318674503
2357,N·哈蒂拉玛尼,133,2,0.4647949789681711
2358,N·墨菲,87,1,0.44337862623691
2359,N·夏玛,1050,1,0.42778896481642364
2360,N·奇基,1953,1,0.31695043539264545
2361,N·帕尔姆,1305,1,0.735945042750507
2362,N·库尔巴特,819,1,0.7943045878950319
2363,N·库雷,952,1,0.4824296156177784
2364,N·廖塔,66,1,0.5595881917793516
2365,N·德沃雷基,941,1,0.31794718455037724
2366,N·戈伦,374,1,0.3434840051611873
2367,N·拉奇克,3999,1,0.6535309106111795
2368,N·斯图茨纳克,171,2,0.3511770453025656
2369,N·斯帕泽,1113,1,0.32733172122757387
2370,N·施密特,1771,1,0.37767061287351145
2371,N·杰克,273,1,0.39453578583628796
2372,N·格雷塞特,371,1,0.34635439151114705
2373,N·梅勒姆普迪,1144,1,0.41711394156540654
